trade_date,SG Trend Indicator,SG CTA Index,SG Trend Index,S&P 500 TR,sg_trend_indicator_ret,sg_cta_index_ret,sg_trend_index_ret,sp500_ret
2000-10-09,108.38,93.31,85.25,97.21,0.0064072801560033366,0.005062473071951734,0.008995147354716515,-0.004913501893745509
2000-10-10,108.4,93.25,85.41,96.17,0.00018453589223121902,-0.0006430178973314549,0.0018768328445748494,-0.010698487809896018
2000-10-11,109.41,93.96,86.58,94.62,0.009317343173431691,0.007613941018766779,0.013698630136986356,-0.016117292294894447
2000-10-12,110.26,95.19,89.02,92.21,0.007768942509825516,0.013090676883780406,0.028182028182028196,-0.025470302261678457
2000-10-13,110.48,95.05,88.53,95.29,0.0019952838744785595,-0.0014707427250761906,-0.005504381037968908,0.033402017134801065
2000-10-16,111.03,94.55,87.52,95.32,0.004978276611151244,-0.005260389268805898,-0.011408562069355033,0.0003148284185117145
2000-10-17,111.76,94.73,87.95,93.61,0.006574799603710657,0.0019037546271813977,0.004913162705667329,-0.01793957196810736
2000-10-18,113.31,95.48,89.64,93.07,0.01386900501073729,0.007917238467222587,0.01921546333143831,-0.005768614464266686
2000-10-19,111.75,94.82,88.3,96.3,-0.01376754037595973,-0.006912442396313501,-0.01494868362338242,0.03470506070699475
2000-10-20,111.29,95.01,88.61,96.87,-0.004116331096196801,0.002003796667369828,0.003510758776896994,0.0059190031152649425
2000-10-23,111.41,95.38,89.34,96.79,0.0010782639949680206,0.003894326912956325,0.008238347816273528,-0.0008258490760812975
2000-10-24,110.56,94.92,88.37,96.95,-0.007629476707656346,-0.004822814007129361,-0.010857398701589416,0.00165306333298898
2000-10-25,112.34,95.57,89.28,94.65,0.016099855282199815,0.006847871892119661,0.010297612311870541,-0.02372356884992266
2000-10-26,112.76,95.78,89.5,94.62,0.0037386505251912894,0.0021973422622163508,0.0024641577060930953,-0.00031695721077651395
2000-10-27,111.61,94.62,87.34,95.68,-0.010198652004256847,-0.012111087909793206,-0.02413407821229041,0.01120270555907843
2000-10-30,111.97,94.89,87.69,97.01,0.003225517426753921,0.0028535193405199166,0.004007327684909523,0.013900501672240884
2000-10-31,110.63,94.29,86.67,99.14,-0.01196749129231045,-0.006323110970597456,-0.01163188504960655,0.021956499329965906
2000-11-01,110.01,93.78,85.94,98.58,-0.0056042664738316095,-0.005408845052497613,-0.008422752971039671,-0.00564857776881178
2000-11-02,110.21,93.72,85.82,99.08,0.0018180165439505291,-0.000639795265515053,-0.0013963230160577433,0.005072022722661718
2000-11-03,108.67,92.57,84.02,98.97,-0.01397332365484072,-0.01227059325650881,-0.020974131903985005,-0.0011102139685102985
2000-11-06,109.1,92.75,84.25,99.35,0.003956933836385401,0.0019444744517662649,0.0027374434658415936,0.003839547337576965
